Date;Time of day;Total[MWh];Residual load[MWh]
Jan 1, 2017;12:00 AM;11,272;-
Jan 1, 2017;12:15 AM;11,226;-
Jan 1, 2017;12:30 AM;11,191;-
Jan 1, 2017;12:45 AM;11,112;-
Jan 1, 2017;1:00 AM;11,012;-
Jan 1, 2017;1:15 AM;10,917;-
Jan 1, 2017;1:30 AM;10,858;-
Jan 1, 2017;1:45 AM;10,786;-
Jan 1, 2017;2:00 AM;10,745;-
Jan 1, 2017;2:15 AM;10,679;-
Jan 1, 2017;2:30 AM;10,541;-
Jan 1, 2017;2:45 AM;10,432;-
Jan 1, 2017;3:00 AM;10,338;-
Jan 1, 2017;3:15 AM;10,253;-
Jan 1, 2017;3:30 AM;10,210;-
Jan 1, 2017;3:45 AM;10,185;-
Jan 1, 2017;4:00 AM;10,167;-
Jan 1, 2017;4:15 AM;10,078;-
Jan 1, 2017;4:30 AM;9,996;-
Jan 1, 2017;4:45 AM;9,947;-
Jan 1, 2017;5:00 AM;9,876;-
Jan 1, 2017;5:15 AM;9,776;-
Jan 1, 2017;5:30 AM;9,662;-
Jan 1, 2017;5:45 AM;9,607;-
Jan 1, 2017;6:00 AM;9,384;-
Jan 1, 2017;6:15 AM;9,360;-
Jan 1, 2017;6:30 AM;9,353;-
Jan 1, 2017;6:45 AM;9,354;-
Jan 1, 2017;7:00 AM;9,414;-
Jan 1, 2017;7:15 AM;9,396;-
Jan 1, 2017;7:30 AM;9,456;-
Jan 1, 2017;7:45 AM;9,577;-
Jan 1, 2017;8:00 AM;9,588;-
Jan 1, 2017;8:15 AM;9,589;-
Jan 1, 2017;8:30 AM;9,692;-
Jan 1, 2017;8:45 AM;9,878;-
Jan 1, 2017;9:00 AM;10,114;-
Jan 1, 2017;9:15 AM;10,346;-
Jan 1, 2017;9:30 AM;10,544;-
Jan 1, 2017;9:45 AM;10,676;-
Jan 1, 2017;10:00 AM;10,860;-
Jan 1, 2017;10:15 AM;11,063;-
Jan 1, 2017;10:30 AM;11,141;-
Jan 1, 2017;10:45 AM;11,253;-
Jan 1, 2017;11:00 AM;11,452;-
Jan 1, 2017;11:15 AM;11,611;-
Jan 1, 2017;11:30 AM;11,786;-
Jan 1, 2017;11:45 AM;11,833;-
Jan 1, 2017;12:00 PM;11,894;-
Jan 1, 2017;12:15 PM;11,918;-
Jan 1, 2017;12:30 PM;10,297;-
Jan 1, 2017;12:45 PM;10,262;-
Jan 1, 2017;1:00 PM;10,224;-
Jan 1, 2017;1:15 PM;10,139;-
Jan 1, 2017;1:30 PM;10,168;-
Jan 1, 2017;1:45 PM;10,104;-
Jan 1, 2017;2:00 PM;10,176;-
Jan 1, 2017;2:15 PM;10,231;-
Jan 1, 2017;2:30 PM;10,235;-
Jan 1, 2017;2:45 PM;10,227;-
Jan 1, 2017;3:00 PM;10,388;-
Jan 1, 2017;3:15 PM;10,446;-
Jan 1, 2017;3:30 PM;10,534;-
Jan 1, 2017;3:45 PM;10,551;-
Jan 1, 2017;4:00 PM;10,754;-
Jan 1, 2017;4:15 PM;10,832;-
Jan 1, 2017;4:30 PM;11,083;-
Jan 1, 2017;4:45 PM;11,403;-
Jan 1, 2017;5:00 PM;11,754;-
Jan 1, 2017;5:15 PM;11,974;-
Jan 1, 2017;5:30 PM;12,054;-
Jan 1, 2017;5:45 PM;12,090;-
Jan 1, 2017;6:00 PM;12,146;-
Jan 1, 2017;6:15 PM;12,185;-
Jan 1, 2017;6:30 PM;12,161;-
Jan 1, 2017;6:45 PM;12,112;-
Jan 1, 2017;7:00 PM;12,102;-
Jan 1, 2017;7:15 PM;11,989;-
Jan 1, 2017;7:30 PM;11,822;-
Jan 1, 2017;7:45 PM;11,677;-
Jan 1, 2017;8:00 PM;11,585;-
Jan 1, 2017;8:15 PM;11,316;-
Jan 1, 2017;8:30 PM;11,098;-
Jan 1, 2017;8:45 PM;10,976;-
Jan 1, 2017;9:00 PM;10,906;-
Jan 1, 2017;9:15 PM;10,779;-
Jan 1, 2017;9:30 PM;10,651;-
Jan 1, 2017;9:45 PM;10,659;-
Jan 1, 2017;10:00 PM;10,874;-
Jan 1, 2017;10:15 PM;10,804;-
Jan 1, 2017;10:30 PM;10,706;-
Jan 1, 2017;10:45 PM;10,572;-
Jan 1, 2017;11:00 PM;10,358;-
Jan 1, 2017;11:15 PM;10,360;-
Jan 1, 2017;11:30 PM;10,039;-
Jan 1, 2017;11:45 PM;9,982;-
Jan 2, 2017;12:00 AM;9,783;-
Jan 2, 2017;12:15 AM;9,693;-
Jan 2, 2017;12:30 AM;9,562;-
Jan 2, 2017;12:45 AM;9,418;-
Jan 2, 2017;1:00 AM;9,262;-
Jan 2, 2017;1:15 AM;9,175;-
Jan 2, 2017;1:30 AM;9,066;-
Jan 2, 2017;1:45 AM;8,976;-
Jan 2, 2017;2:00 AM;8,945;-
Jan 2, 2017;2:15 AM;8,956;-
Jan 2, 2017;2:30 AM;8,931;-
Jan 2, 2017;2:45 AM;8,926;-
Jan 2, 2017;3:00 AM;8,916;-
Jan 2, 2017;3:15 AM;8,810;-
Jan 2, 2017;3:30 AM;8,944;-
Jan 2, 2017;3:45 AM;8,980;-
Jan 2, 2017;4:00 AM;9,086;-
Jan 2, 2017;4:15 AM;9,259;-
Jan 2, 2017;4:30 AM;9,339;-
Jan 2, 2017;4:45 AM;9,395;-
Jan 2, 2017;5:00 AM;9,623;-
Jan 2, 2017;5:15 AM;9,794;-
Jan 2, 2017;5:30 AM;10,061;-
Jan 2, 2017;5:45 AM;10,376;-
Jan 2, 2017;6:00 AM;10,815;-
Jan 2, 2017;6:15 AM;11,327;-
Jan 2, 2017;6:30 AM;11,724;-
Jan 2, 2017;6:45 AM;12,172;-
Jan 2, 2017;7:00 AM;12,593;-
Jan 2, 2017;7:15 AM;12,870;-
Jan 2, 2017;7:30 AM;13,232;-
Jan 2, 2017;7:45 AM;13,566;-
Jan 2, 2017;8:00 AM;13,892;-
Jan 2, 2017;8:15 AM;14,004;-
Jan 2, 2017;8:30 AM;14,173;-
Jan 2, 2017;8:45 AM;14,357;-
Jan 2, 2017;9:00 AM;14,430;-
Jan 2, 2017;9:15 AM;14,605;-
Jan 2, 2017;9:30 AM;16,088;-
Jan 2, 2017;9:45 AM;16,197;-
Jan 2, 2017;10:00 AM;16,306;-
Jan 2, 2017;10:15 AM;16,382;-
Jan 2, 2017;10:30 AM;16,494;-
Jan 2, 2017;10:45 AM;16,610;-
Jan 2, 2017;11:00 AM;16,691;-
Jan 2, 2017;11:15 AM;16,754;-
Jan 2, 2017;11:30 AM;16,758;-
Jan 2, 2017;11:45 AM;16,836;-
Jan 2, 2017;12:00 PM;16,825;-
Jan 2, 2017;12:15 PM;16,819;-
Jan 2, 2017;12:30 PM;16,825;-
Jan 2, 2017;12:45 PM;16,751;-
Jan 2, 2017;1:00 PM;16,742;-
Jan 2, 2017;1:15 PM;16,593;-
Jan 2, 2017;1:30 PM;16,443;-
Jan 2, 2017;1:45 PM;16,311;-
Jan 2, 2017;2:00 PM;16,255;-
Jan 2, 2017;2:15 PM;16,264;-
Jan 2, 2017;2:30 PM;16,266;-
Jan 2, 2017;2:45 PM;16,172;-
Jan 2, 2017;3:00 PM;16,166;-
Jan 2, 2017;3:15 PM;16,096;-
Jan 2, 2017;3:30 PM;16,037;-
Jan 2, 2017;3:45 PM;16,025;-
Jan 2, 2017;4:00 PM;16,042;-
Jan 2, 2017;4:15 PM;16,109;-
Jan 2, 2017;4:30 PM;16,397;-
Jan 2, 2017;4:45 PM;16,644;-
Jan 2, 2017;5:00 PM;16,946;-
Jan 2, 2017;5:15 PM;17,031;-
Jan 2, 2017;5:30 PM;17,123;-
Jan 2, 2017;5:45 PM;17,124;-
Jan 2, 2017;6:00 PM;17,011;-
Jan 2, 2017;6:15 PM;16,945;-
Jan 2, 2017;6:30 PM;16,948;-
Jan 2, 2017;6:45 PM;16,890;-
Jan 2, 2017;7:00 PM;16,808;-
Jan 2, 2017;7:15 PM;16,731;-
Jan 2, 2017;7:30 PM;16,640;-
Jan 2, 2017;7:45 PM;16,571;-
Jan 2, 2017;8:00 PM;16,125;-
Jan 2, 2017;8:15 PM;15,809;-
Jan 2, 2017;8:30 PM;15,550;-
Jan 2, 2017;8:45 PM;15,329;-
Jan 2, 2017;9:00 PM;15,072;-
Jan 2, 2017;9:15 PM;14,918;-
Jan 2, 2017;9:30 PM;14,773;-
Jan 2, 2017;9:45 PM;14,698;-
Jan 2, 2017;10:00 PM;14,836;-
Jan 2, 2017;10:15 PM;14,671;-
Jan 2, 2017;10:30 PM;14,406;-
Jan 2, 2017;10:45 PM;14,143;-
Jan 2, 2017;11:00 PM;13,886;-
Jan 2, 2017;11:15 PM;13,730;-
Jan 2, 2017;11:30 PM;13,499;-
Jan 2, 2017;11:45 PM;13,333;-
Jan 3, 2017;12:00 AM;13,128;-
Jan 3, 2017;12:15 AM;12,929;-
Jan 3, 2017;12:30 AM;12,807;-
Jan 3, 2017;12:45 AM;12,548;-
