Date;Time of day;Physical net export[MWh];Netherlands (export)[MWh];Netherlands (import)[MWh];Switzerland (export)[MWh];Switzerland (import)[MWh];Denmark (export)[MWh];Denmark (import)[MWh];Czech Republic (export)[MWh];Czech Republic (import)[MWh];Luxembourg (export)[MWh];Luxembourg (import)[MWh];Sweden (export)[MWh];Sweden (import)[MWh];Austria (export)[MWh];Austria (import)[MWh];France (export)[MWh];France (import)[MWh];Poland (export)[MWh];Poland (import)[MWh]
Jan 1, 2019;12:00 AM;11,561;1,692;-0;3,652;-95;1,085;-366;1,444;-885;409;-0;0;-75;2,640;-2;1,044;0;1,018;-0
Jan 1, 2019;1:00 AM;11,658;1,579;-0;3,536;-7;1,044;-486;1,643;-449;405;-0;2;-0;2,670;0;625;0;1,096;-0
Jan 1, 2019;2:00 AM;12,448;1,399;-0;3,677;-6;1,506;-63;1,588;-225;374;-0;68;-0;2,630;0;406;-18;1,112;-0
Jan 1, 2019;3:00 AM;12,656;1,627;-0;3,714;0;1,434;-0;1,547;-104;392;-0;66;-0;2,726;-12;365;-189;1,090;-0
Jan 1, 2019;4:00 AM;13,174;1,904;-0;3,427;0;1,533;-0;1,611;-108;393;-0;66;-0;2,761;0;777;-71;881;-0
Jan 1, 2019;5:00 AM;14,068;1,700;-0;3,729;0;1,728;-0;1,668;-136;415;-0;66;-0;2,843;-3;1,095;-7;970;-0
Jan 1, 2019;6:00 AM;14,457;1,737;-0;4,024;0;1,685;-0;1,544;-130;354;-0;65;-0;3,035;0;1,192;0;951;-0
Jan 1, 2019;7:00 AM;14,807;1,595;-0;4,251;0;1,738;-0;1,553;-153;348;-0;66;-0;3,142;0;1,296;0;971;-0
Jan 1, 2019;8:00 AM;15,265;1,867;-0;4,408;0;1,796;-0;1,517;-177;389;-0;66;-0;3,161;-4;1,312;-3;933;-0
Jan 1, 2019;9:00 AM;14,573;1,545;-0;4,322;0;1,756;-0;1,440;-244;381;-0;66;-0;3,335;-10;1,041;-122;1,063;-0
