Date;Time of day;Total[MWh];Wind offshore[MWh];Wind onshore[MWh];Photovoltaics[MWh];Other[MWh]
Jan 1, 2019;12:00 AM;57,054;1,260.5;4,556;0;33,105.25
Jan 1, 2019;12:15 AM;-;1,265.25;4,663;0;-
Jan 1, 2019;12:30 AM;-;1,269.75;4,773.75;0;-
Jan 1, 2019;12:45 AM;-;1,273.5;4,887;0;-
Jan 1, 2019;1:00 AM;57,400;1,278;4,999.75;0;31,731.25
Jan 1, 2019;1:15 AM;-;1,253.75;5,101.5;0;-
Jan 1, 2019;1:30 AM;-;1,254.75;5,207.75;0;-
Jan 1, 2019;1:45 AM;-;1,255.75;5,317.5;0;-
Jan 1, 2019;2:00 AM;57,275;1,256.25;5,423;0;29,891
Jan 1, 2019;2:15 AM;-;1,256.75;5,532.25;0;-
Jan 1, 2019;2:30 AM;-;1,257.25;5,643.75;0;-
Jan 1, 2019;2:45 AM;-;1,258.25;5,756.5;0;-
Jan 1, 2019;3:00 AM;58,024;1,258.25;5,869.75;0;29,013.75
Jan 1, 2019;3:15 AM;-;1,257.5;5,979.25;0;-
Jan 1, 2019;3:30 AM;-;1,231.5;6,038.25;0;-
Jan 1, 2019;3:45 AM;-;1,230.5;6,145.25;0;-
Jan 1, 2019;4:00 AM;59,301;1,229.5;6,248.25;0;28,941.75
Jan 1, 2019;4:15 AM;-;1,227.75;6,328.25;0;-
Jan 1, 2019;4:30 AM;-;1,226.25;6,409.25;0;-
Jan 1, 2019;4:45 AM;-;1,223.75;6,466.25;0;-
Jan 1, 2019;5:00 AM;59,895;1,221.75;6,522.75;0;28,485.75
Jan 1, 2019;5:15 AM;-;1,221.5;6,596.25;0;-
Jan 1, 2019;5:30 AM;-;1,220.5;6,673;0;-
Jan 1, 2019;5:45 AM;-;1,219;6,734.5;0;-
Jan 1, 2019;6:00 AM;61,103;1,218.25;6,917.75;0;28,168.25
Jan 1, 2019;6:15 AM;-;1,218.5;6,983.75;0;-
Jan 1, 2019;6:30 AM;-;1,219.75;7,046.5;0;-
Jan 1, 2019;6:45 AM;-;1,219.75;7,110.5;0;-
Jan 1, 2019;7:00 AM;62,545;1,221.5;7,169.5;0;28,806.75
Jan 1, 2019;7:15 AM;-;1,223;7,196.5;0;-
Jan 1, 2019;7:30 AM;-;1,224;7,224;0;-
Jan 1, 2019;7:45 AM;-;1,224.75;7,255;0;-
Jan 1, 2019;8:00 AM;64,231;1,225.25;7,271.25;1.5;29,977
Jan 1, 2019;8:15 AM;-;1,226.25;7,300.25;9;-
Jan 1, 2019;8:30 AM;-;1,227.75;7,329.75;21;-
Jan 1, 2019;8:45 AM;-;1,228.5;7,365.75;47.75;-
Jan 1, 2019;9:00 AM;67,016;1,230;7,401;86.5;31,584.25
Jan 1, 2019;9:15 AM;-;1,230.25;7,442.25;134.25;-
Jan 1, 2019;9:30 AM;-;1,230.75;7,484.25;189;-
Jan 1, 2019;9:45 AM;-;1,231.5;7,526.5;245.5;-
Jan 1, 2019;10:00 AM;70,886;1,232.25;7,568;297.75;34,040.25
Jan 1, 2019;10:15 AM;-;1,231.5;7,596.5;343.75;-
Jan 1, 2019;10:30 AM;-;1,230.5;7,625.75;389.5;-
Jan 1, 2019;10:45 AM;-;1,229.25;7,671.25;429.75;-
Jan 1, 2019;11:00 AM;73,525;1,227.5;7,713;466.25;35,540
Jan 1, 2019;11:15 AM;-;1,224.5;7,749.75;497.75;-
Jan 1, 2019;11:30 AM;-;1,221;7,786.75;522.75;-
Jan 1, 2019;11:45 AM;-;1,214;7,821.25;540.5;-
Jan 1, 2019;12:00 PM;73,603;1,205.5;7,859.25;553.5;35,175
Jan 1, 2019;12:15 PM;-;1,134.25;7,877.5;558.5;-
Jan 1, 2019;12:30 PM;-;1,124.5;7,925.25;556;-
Jan 1, 2019;12:45 PM;-;1,117;7,972.25;544.5;-
Jan 1, 2019;1:00 PM;72,551;1,109;8,018.25;527.25;33,874.5
Jan 1, 2019;1:15 PM;-;1,105.75;8,065.75;501.5;-
Jan 1, 2019;1:30 PM;-;1,102.75;8,111.5;464;-
Jan 1, 2019;1:45 PM;-;1,099.25;8,148.5;423;-
Jan 1, 2019;2:00 PM;70,371;1,097;8,187.25;378;31,781.5
Jan 1, 2019;2:15 PM;-;1,096.25;8,234;326.5;-
Jan 1, 2019;2:30 PM;-;1,096.75;8,279.75;268.75;-
Jan 1, 2019;2:45 PM;-;1,096.75;8,317.5;211;-
Jan 1, 2019;3:00 PM;71,041;1,096.5;8,354.25;157.25;32,592.5
Jan 1, 2019;3:15 PM;-;1,093.25;8,395.25;106.75;-
Jan 1, 2019;3:30 PM;-;1,102.25;8,454.75;67;-
Jan 1, 2019;3:45 PM;-;1,096.75;8,488.25;36.25;-
Jan 1, 2019;4:00 PM;73,089;1,091.25;8,522.75;13.75;34,356.75
Jan 1, 2019;4:15 PM;-;1,086;8,569.75;4.5;-
Jan 1, 2019;4:30 PM;-;1,081.5;8,622.5;0.75;-
Jan 1, 2019;4:45 PM;-;1,076;8,663.25;0.25;-
Jan 1, 2019;5:00 PM;76,198;1,069;8,702.5;0;36,907.25
Jan 1, 2019;5:15 PM;-;1,061.25;8,743.5;0;-
Jan 1, 2019;5:30 PM;-;1,054.75;8,783;0;-
Jan 1, 2019;5:45 PM;-;1,039.75;8,837;0;-
Jan 1, 2019;6:00 PM;76,738;1,030.25;8,881;0;36,874.25
Jan 1, 2019;6:15 PM;-;1,024.5;8,922.5;0;-
Jan 1, 2019;6:30 PM;-;1,018.75;8,966;0;-
Jan 1, 2019;6:45 PM;-;1,012.75;9,008;0;-
Jan 1, 2019;7:00 PM;76,180;1,007.75;9,048.5;0;35,901.75
Jan 1, 2019;7:15 PM;-;1,003;9,065.25;0;-
Jan 1, 2019;7:30 PM;-;1,003.25;9,071.25;0;-
Jan 1, 2019;7:45 PM;-;996.5;9,082.75;0;-
Jan 1, 2019;8:00 PM;73,873;990;9,092;0;33,518.5
Jan 1, 2019;8:15 PM;-;984.25;9,098.25;0;-
Jan 1, 2019;8:30 PM;-;978.75;9,110.25;0;-
Jan 1, 2019;8:45 PM;-;971.75;9,129.25;0;-
Jan 1, 2019;9:00 PM;72,937;966.75;9,143.5;0;32,512.75
Jan 1, 2019;9:15 PM;-;966;9,139;0;-
Jan 1, 2019;9:30 PM;-;965;9,135.25;0;-
Jan 1, 2019;9:45 PM;-;961.75;9,147;0;-
Jan 1, 2019;10:00 PM;72,054;972.75;9,013.5;0;32,226
Jan 1, 2019;10:15 PM;-;977.5;8,989.25;0;-
Jan 1, 2019;10:30 PM;-;982.75;8,961.75;0;-
Jan 1, 2019;10:45 PM;-;988.5;8,942;0;-
Jan 1, 2019;11:00 PM;70,739;992.5;8,915.5;0;31,211
Jan 1, 2019;11:15 PM;-;998.5;8,894;0;-
Jan 1, 2019;11:30 PM;-;1,004;8,870.25;0;-
Jan 1, 2019;11:45 PM;-;1,005.75;8,847.5;0;-
Jan 2, 2019;12:00 AM;67,088;1,037.5;8,576.5;0;28,710
Jan 2, 2019;12:15 AM;-;1,043.25;8,555.25;0;-
Jan 2, 2019;12:30 AM;-;1,049.25;8,532.75;0;-
Jan 2, 2019;12:45 AM;-;1,055.75;8,527.75;0;-
Jan 2, 2019;1:00 AM;65,481;1,063;8,518.25;0;27,234.25
Jan 2, 2019;1:15 AM;-;1,069.25;8,498.5;0;-
Jan 2, 2019;1:30 AM;-;1,076;8,479.75;0;-
Jan 2, 2019;1:45 AM;-;1,081.5;8,460.5;0;-
Jan 2, 2019;2:00 AM;65,490;1,088.25;8,461.5;0;27,423
Jan 2, 2019;2:15 AM;-;1,097.75;8,430.25;0;-
Jan 2, 2019;2:30 AM;-;1,106.75;8,400.75;0;-
Jan 2, 2019;2:45 AM;-;1,115.5;8,366.25;0;-
Jan 2, 2019;3:00 AM;65,013;1,126.25;8,330;0;27,387
Jan 2, 2019;3:15 AM;-;1,135.75;8,287;0;-
Jan 2, 2019;3:30 AM;-;1,146;8,245;0;-
Jan 2, 2019;3:45 AM;-;1,155.75;8,200.25;0;-
Jan 2, 2019;4:00 AM;65,100;1,164.5;8,158;0;27,992.5
Jan 2, 2019;4:15 AM;-;1,173;8,122.75;0;-
Jan 2, 2019;4:30 AM;-;1,182.25;8,085.25;0;-
Jan 2, 2019;4:45 AM;-;1,191.25;8,030.5;0;-
Jan 2, 2019;5:00 AM;67,338;1,198.25;7,974.5;0;30,765.5
Jan 2, 2019;5:15 AM;-;1,203;7,956;0;-
Jan 2, 2019;5:30 AM;-;1,208.25;7,937.5;0;-
Jan 2, 2019;5:45 AM;-;1,212.5;7,882.5;0;-
Jan 2, 2019;6:00 AM;71,889;1,217;7,968.25;0;35,409.25
Jan 2, 2019;6:15 AM;-;1,219;7,924;0;-
Jan 2, 2019;6:30 AM;-;1,221.25;7,878.25;0;-
Jan 2, 2019;6:45 AM;-;1,223.25;7,828.75;0;-
Jan 2, 2019;7:00 AM;76,382;1,224.25;7,776.5;0;40,846.5
Jan 2, 2019;7:15 AM;-;1,222;7,700;0;-
Jan 2, 2019;7:30 AM;-;1,220.25;7,622.25;0;-
Jan 2, 2019;7:45 AM;-;1,218.25;7,552;0;-
Jan 2, 2019;8:00 AM;78,875;1,215.75;7,451.5;1.5;44,542.5
Jan 2, 2019;8:15 AM;-;1,221.25;7,370.75;10.5;-
Jan 2, 2019;8:30 AM;-;1,217.25;7,290.75;38;-
Jan 2, 2019;8:45 AM;-;1,214.25;7,211.5;89.5;-
Jan 2, 2019;9:00 AM;80,205;1,209.75;7,138.25;172;45,618
Jan 2, 2019;9:15 AM;-;1,201.5;7,075.25;293.5;-
Jan 2, 2019;9:30 AM;-;1,232;7,015.5;443.75;-
Jan 2, 2019;9:45 AM;-;1,233.5;6,981.5;590.5;-
Jan 2, 2019;10:00 AM;82,867;1,223.5;6,939.75;748;46,314.5
Jan 2, 2019;10:15 AM;-;1,208.25;6,931;907.75;-
Jan 2, 2019;10:30 AM;-;1,194;6,922.75;1,070;-
Jan 2, 2019;10:45 AM;-;1,199;7,000;1,208.5;-
Jan 2, 2019;11:00 AM;84,819;1,229.5;7,008.25;1,332.5;46,240
Jan 2, 2019;11:15 AM;-;1,201.25;6,996.5;1,433.75;-
Jan 2, 2019;11:30 AM;-;1,174.25;6,988.5;1,516.5;-
Jan 2, 2019;11:45 AM;-;1,146.5;6,978.25;1,573.25;-
Jan 2, 2019;12:00 PM;85,339;1,118;6,963.5;1,611;46,822.75
Jan 2, 2019;12:15 PM;-;1,091.75;6,942.5;1,634;-
Jan 2, 2019;12:30 PM;-;1,066.5;6,918.25;1,634.75;-
Jan 2, 2019;12:45 PM;-;1,039.5;6,888.75;1,607.75;-
Jan 2, 2019;1:00 PM;83,967;1,014.5;6,854;1,555;47,476.25
Jan 2, 2019;1:15 PM;-;998.5;6,761.75;1,480.75;-
Jan 2, 2019;1:30 PM;-;981.25;6,664.75;1,382;-
Jan 2, 2019;1:45 PM;-;964.75;6,564.25;1,269.25;-
Jan 2, 2019;2:00 PM;80,270;949.25;6,458.25;1,140;47,966.25
Jan 2, 2019;2:15 PM;-;936.5;6,308;1,002.25;-
Jan 2, 2019;2:30 PM;-;922;6,156.5;845.25;-
Jan 2, 2019;2:45 PM;-;909;5,987.5;689.25;-
Jan 2, 2019;3:00 PM;74,701;897.25;5,814;529;47,643.5
Jan 2, 2019;3:15 PM;-;887.5;5,650.5;367.5;-
Jan 2, 2019;3:30 PM;-;879.25;5,485;226.5;-
Jan 2, 2019;3:45 PM;-;871;5,331.5;118.5;-
Jan 2, 2019;4:00 PM;72,823;864.75;5,180;45.5;49,218
Jan 2, 2019;4:15 PM;-;863.5;5,075;13.25;-
Jan 2, 2019;4:30 PM;-;861;4,968.5;3;-
Jan 2, 2019;4:45 PM;-;859;4,870.75;0.75;-
Jan 2, 2019;5:00 PM;72,879;858.5;4,774.75;0;50,818.75
Jan 2, 2019;5:15 PM;-;858;4,695;0;-
