Date;Time of day;Scheduled commercial net export[MWh];Netherlands (export)[MWh];Netherlands (import)[MWh];Switzerland (export)[MWh];Switzerland (import)[MWh];Denmark (export)[MWh];Denmark (import)[MWh];Czech Republic (export)[MWh];Czech Republic (import)[MWh];Luxembourg (export)[MWh];Luxembourg (import)[MWh];Sweden (export)[MWh];Sweden (import)[MWh];Austria (export)[MWh];Austria (import)[MWh];France (export)[MWh];France (import)[MWh];Poland (export)[MWh];Poland (import)[MWh]
Jan 1, 2019;12:00 AM;9,678;1,354;-0;800;-0;196;-1,156;839;-1,276;418;-12;0;-0;4,940;-61;3,860;-0;0;-224
Jan 1, 2019;1:00 AM;10,022;1,158;-0;801;-1;9;-827;957;-714;398;-16;0;-0;5,073;-60;3,244;-0;0;-0
Jan 1, 2019;2:00 AM;11,211;1,176;-0;800;-0;600;-417;910;-200;379;-19;76;-0;4,284;-20;3,642;-0;0;-0
Jan 1, 2019;3:00 AM;11,404;1,428;-0;800;-0;673;-367;1,211;-111;373;-23;67;-0;4,273;-3;3,083;-0;0;-0
Jan 1, 2019;4:00 AM;12,342;1,492;-0;800;-0;689;-277;1,137;-0;370;-27;67;-0;4,961;-0;3,130;-0;0;-0
Jan 1, 2019;5:00 AM;12,910;862;-0;800;-0;949;-273;1,100;-0;376;-15;67;-0;4,984;-0;4,060;-0;0;-0
Jan 1, 2019;6:00 AM;13,946;844;-0;800;-0;1,811;-370;1,000;-0;350;-14;67;-0;4,819;-2;4,641;-0;0;-0
Jan 1, 2019;7:00 AM;14,597;296;-0;800;-0;1,752;-249;800;-0;361;-12;67;-0;4,751;-0;6,031;-0;0;-0
Jan 1, 2019;8:00 AM;14,182;520;-0;800;-0;1,020;-143;800;-30;372;-13;67;-0;4,676;-1;6,114;-0;0;-0
Jan 1, 2019;9:00 AM;13,430;272;-0;800;-0;1,277;-221;600;-30;384;-33;67;-0;5,170;-0;5,144;-0;0;-0
Jan 1, 2019;10:00 AM;13,809;585;-0;800;-0;1,211;-254;600;-30;393;-30;67;-0;5,513;-0;4,954;-0;0;-0
Jan 1, 2019;11:00 AM;13,935;522;-0;800;-0;884;-207;900;-30;400;-23;67;-0;5,590;-0;5,032;-0;0;-0
Jan 1, 2019;12:00 PM;13,379;646;-0;800;-0;958;-438;800;-5;407;-31;67;-0;5,506;-12;4,681;-0;0;-0
Jan 1, 2019;1:00 PM;14,214;1,096;-0;800;-0;1,355;-166;1,000;-5;394;-31;67;-0;5,126;-0;4,578;-0;0;-0
Jan 1, 2019;2:00 PM;15,129;1,596;-0;800;-0;1,659;-179;900;-5;380;-33;67;-0;4,930;-1;5,015;-0;0;-0
Jan 1, 2019;3:00 PM;15,877;1,510;-0;800;-0;1,928;-278;1,278;-5;376;-32;67;-0;4,813;-11;5,431;-0;0;-0
Jan 1, 2019;4:00 PM;15,828;1,274;-0;800;-0;1,800;-292;1,500;-60;387;-34;67;-0;4,807;-16;5,595;-0;0;-0
Jan 1, 2019;5:00 PM;14,830;1,375;-0;800;-0;1,808;-192;1,402;-50;428;-40;67;-0;4,354;-33;4,911;-0;0;-0
Jan 1, 2019;6:00 PM;13,875;1,916;-0;800;-0;1,786;-260;1,200;-0;441;-47;67;-0;4,381;-16;3,607;-0;0;-0
Jan 1, 2019;7:00 PM;13,421;1,948;-0;800;-0;1,914;-366;900;-0;432;-52;67;-0;4,296;-3;3,485;-0;0;-0
Jan 1, 2019;8:00 PM;13,553;1,894;-0;800;-0;1,853;-440;900;-10;419;-53;67;-0;4,090;-0;4,033;-0;0;-0
