Total[MWh],Residual load[MWh],Datetime,Weekday,Weekclass,Year,Month,Hour,Grouped_daytype
42097.0,0.0,2015-01-01 00:00:00,Thu,7.0,2015,01,00,Holiday
40665.25,0.0,2015-01-01 01:00:00,Thu,7.0,2015,01,01,Holiday
39509.75,0.0,2015-01-01 02:00:00,Thu,7.0,2015,01,02,Holiday
38537.25,0.0,2015-01-01 03:00:00,Thu,7.0,2015,01,03,Holiday
38153.0,0.0,2015-01-01 04:00:00,Thu,7.0,2015,01,04,Holiday
37927.0,0.0,2015-01-01 05:00:00,Thu,7.0,2015,01,05,Holiday
37921.0,0.0,2015-01-01 06:00:00,Thu,7.0,2015,01,06,Holiday
39143.5,0.0,2015-01-01 07:00:00,Thu,7.0,2015,01,07,Holiday
39891.5,0.0,2015-01-01 08:00:00,Thu,7.0,2015,01,08,Holiday
41618.0,0.0,2015-01-01 09:00:00,Thu,7.0,2015,01,09,Holiday
43857.75,0.0,2015-01-01 10:00:00,Thu,7.0,2015,01,10,Holiday
46208.0,0.0,2015-01-01 11:00:00,Thu,7.0,2015,01,11,Holiday
47555.75,0.0,2015-01-01 12:00:00,Thu,7.0,2015,01,12,Holiday
46673.75,0.0,2015-01-01 13:00:00,Thu,7.0,2015,01,13,Holiday
45922.5,0.0,2015-01-01 14:00:00,Thu,7.0,2015,01,14,Holiday
46347.25,0.0,2015-01-01 15:00:00,Thu,7.0,2015,01,15,Holiday
48230.0,0.0,2015-01-01 16:00:00,Thu,7.0,2015,01,16,Holiday
51633.5,0.0,2015-01-01 17:00:00,Thu,7.0,2015,01,17,Holiday
51307.0,0.0,2015-01-01 18:00:00,Thu,7.0,2015,01,18,Holiday
50137.75,0.0,2015-01-01 19:00:00,Thu,7.0,2015,01,19,Holiday
47092.0,0.0,2015-01-01 20:00:00,Thu,7.0,2015,01,20,Holiday
45182.0,0.0,2015-01-01 21:00:00,Thu,7.0,2015,01,21,Holiday
49364.75,0.0,2015-01-01 22:00:00,Thu,7.0,2015,01,22,Holiday
46468.25,0.0,2015-01-01 23:00:00,Thu,7.0,2015,01,23,Holiday
43253.25,0.0,2015-01-02 00:00:00,Fri,7.0,2015,01,00,Holiday
41608.25,0.0,2015-01-02 01:00:00,Fri,7.0,2015,01,01,Holiday
40839.0,0.0,2015-01-02 02:00:00,Fri,7.0,2015,01,02,Holiday
40576.75,0.0,2015-01-02 03:00:00,Fri,7.0,2015,01,03,Holiday
41364.25,0.0,2015-01-02 04:00:00,Fri,7.0,2015,01,04,Holiday
43445.0,0.0,2015-01-02 05:00:00,Fri,7.0,2015,01,05,Holiday
46679.25,0.0,2015-01-02 06:00:00,Fri,7.0,2015,01,06,Holiday
51275.0,0.0,2015-01-02 07:00:00,Fri,7.0,2015,01,07,Holiday
55305.0,0.0,2015-01-02 08:00:00,Fri,7.0,2015,01,08,Holiday
57513.0,0.0,2015-01-02 09:00:00,Fri,7.0,2015,01,09,Holiday
59351.0,0.0,2015-01-02 10:00:00,Fri,7.0,2015,01,10,Holiday
60450.75,0.0,2015-01-02 11:00:00,Fri,7.0,2015,01,11,Holiday
60104.5,0.0,2015-01-02 12:00:00,Fri,7.0,2015,01,12,Holiday
59567.75,0.0,2015-01-02 13:00:00,Fri,7.0,2015,01,13,Holiday
58560.75,0.0,2015-01-02 14:00:00,Fri,7.0,2015,01,14,Holiday
58012.0,0.0,2015-01-02 15:00:00,Fri,7.0,2015,01,15,Holiday
59286.75,0.0,2015-01-02 16:00:00,Fri,7.0,2015,01,16,Holiday
62207.75,0.0,2015-01-02 17:00:00,Fri,7.0,2015,01,17,Holiday
62007.25,0.0,2015-01-02 18:00:00,Fri,7.0,2015,01,18,Holiday
59408.25,0.0,2015-01-02 19:00:00,Fri,7.0,2015,01,19,Holiday
55694.5,0.0,2015-01-02 20:00:00,Fri,7.0,2015,01,20,Holiday
53446.25,0.0,2015-01-02 21:00:00,Fri,7.0,2015,01,21,Holiday
51544.0,0.0,2015-01-02 22:00:00,Fri,7.0,2015,01,22,Holiday
46400.25,0.0,2015-01-02 23:00:00,Fri,7.0,2015,01,23,Holiday
41443.75,0.0,2015-01-03 00:00:00,Sat,7.0,2015,01,00,Holiday
39215.75,0.0,2015-01-03 01:00:00,Sat,7.0,2015,01,01,Holiday
37572.75,0.0,2015-01-03 02:00:00,Sat,7.0,2015,01,02,Holiday
36665.5,0.0,2015-01-03 03:00:00,Sat,7.0,2015,01,03,Holiday
36917.5,0.0,2015-01-03 04:00:00,Sat,7.0,2015,01,04,Holiday
37443.25,0.0,2015-01-03 05:00:00,Sat,7.0,2015,01,05,Holiday
38926.5,0.0,2015-01-03 06:00:00,Sat,7.0,2015,01,06,Holiday
41790.0,0.0,2015-01-03 07:00:00,Sat,7.0,2015,01,07,Holiday
44871.25,0.0,2015-01-03 08:00:00,Sat,7.0,2015,01,08,Holiday
48258.25,0.0,2015-01-03 09:00:00,Sat,7.0,2015,01,09,Holiday
50221.25,0.0,2015-01-03 10:00:00,Sat,7.0,2015,01,10,Holiday
52667.75,0.0,2015-01-03 11:00:00,Sat,7.0,2015,01,11,Holiday
53328.0,0.0,2015-01-03 12:00:00,Sat,7.0,2015,01,12,Holiday
52905.5,0.0,2015-01-03 13:00:00,Sat,7.0,2015,01,13,Holiday
51660.25,0.0,2015-01-03 14:00:00,Sat,7.0,2015,01,14,Holiday
51104.0,0.0,2015-01-03 15:00:00,Sat,7.0,2015,01,15,Holiday
53047.25,0.0,2015-01-03 16:00:00,Sat,7.0,2015,01,16,Holiday
56013.75,0.0,2015-01-03 17:00:00,Sat,7.0,2015,01,17,Holiday
55925.75,0.0,2015-01-03 18:00:00,Sat,7.0,2015,01,18,Holiday
53864.75,0.0,2015-01-03 19:00:00,Sat,7.0,2015,01,19,Holiday
49932.0,0.0,2015-01-03 20:00:00,Sat,7.0,2015,01,20,Holiday
48014.25,0.0,2015-01-03 21:00:00,Sat,7.0,2015,01,21,Holiday
47602.0,0.0,2015-01-03 22:00:00,Sat,7.0,2015,01,22,Holiday
45491.75,0.0,2015-01-03 23:00:00,Sat,7.0,2015,01,23,Holiday
42859.0,0.0,2015-01-04 00:00:00,Sun,7.0,2015,01,00,Holiday
38999.25,0.0,2015-01-04 01:00:00,Sun,7.0,2015,01,01,Holiday
37129.75,0.0,2015-01-04 02:00:00,Sun,7.0,2015,01,02,Holiday
36367.5,0.0,2015-01-04 03:00:00,Sun,7.0,2015,01,03,Holiday
36485.5,0.0,2015-01-04 04:00:00,Sun,7.0,2015,01,04,Holiday
35879.0,0.0,2015-01-04 05:00:00,Sun,7.0,2015,01,05,Holiday
35062.0,0.0,2015-01-04 06:00:00,Sun,7.0,2015,01,06,Holiday
37629.25,0.0,2015-01-04 07:00:00,Sun,7.0,2015,01,07,Holiday
40607.75,0.0,2015-01-04 08:00:00,Sun,7.0,2015,01,08,Holiday
43522.25,0.0,2015-01-04 09:00:00,Sun,7.0,2015,01,09,Holiday
46571.0,0.0,2015-01-04 10:00:00,Sun,7.0,2015,01,10,Holiday
50261.75,0.0,2015-01-04 11:00:00,Sun,7.0,2015,01,11,Holiday
50389.0,0.0,2015-01-04 12:00:00,Sun,7.0,2015,01,12,Holiday
48319.0,0.0,2015-01-04 13:00:00,Sun,7.0,2015,01,13,Holiday
47173.75,0.0,2015-01-04 14:00:00,Sun,7.0,2015,01,14,Holiday
47092.5,0.0,2015-01-04 15:00:00,Sun,7.0,2015,01,15,Holiday
49109.75,0.0,2015-01-04 16:00:00,Sun,7.0,2015,01,16,Holiday
52675.75,0.0,2015-01-04 17:00:00,Sun,7.0,2015,01,17,Holiday
53325.75,0.0,2015-01-04 18:00:00,Sun,7.0,2015,01,18,Holiday
51742.75,0.0,2015-01-04 19:00:00,Sun,7.0,2015,01,19,Holiday
49435.25,0.0,2015-01-04 20:00:00,Sun,7.0,2015,01,20,Holiday
48114.0,0.0,2015-01-04 21:00:00,Sun,7.0,2015,01,21,Holiday
48242.5,0.0,2015-01-04 22:00:00,Sun,7.0,2015,01,22,Holiday
45460.0,0.0,2015-01-04 23:00:00,Sun,7.0,2015,01,23,Holiday
41878.0,0.0,2015-01-05 00:00:00,Mon,7.0,2015,01,00,Holiday
39950.75,0.0,2015-01-05 01:00:00,Mon,7.0,2015,01,01,Holiday
38841.25,0.0,2015-01-05 02:00:00,Mon,7.0,2015,01,02,Holiday
38771.75,0.0,2015-01-05 03:00:00,Mon,7.0,2015,01,03,Holiday
39928.5,0.0,2015-01-05 04:00:00,Mon,7.0,2015,01,04,Holiday
43623.5,0.0,2015-01-05 05:00:00,Mon,7.0,2015,01,05,Holiday
49623.5,0.0,2015-01-05 06:00:00,Mon,7.0,2015,01,06,Holiday
55406.25,0.0,2015-01-05 07:00:00,Mon,7.0,2015,01,07,Holiday
59000.5,0.0,2015-01-05 08:00:00,Mon,7.0,2015,01,08,Holiday
60326.25,0.0,2015-01-05 09:00:00,Mon,7.0,2015,01,09,Holiday
61101.25,0.0,2015-01-05 10:00:00,Mon,7.0,2015,01,10,Holiday
62022.5,0.0,2015-01-05 11:00:00,Mon,7.0,2015,01,11,Holiday
62199.0,0.0,2015-01-05 12:00:00,Mon,7.0,2015,01,12,Holiday
61552.0,0.0,2015-01-05 13:00:00,Mon,7.0,2015,01,13,Holiday
60713.25,0.0,2015-01-05 14:00:00,Mon,7.0,2015,01,14,Holiday
60059.0,0.0,2015-01-05 15:00:00,Mon,7.0,2015,01,15,Holiday
60715.5,0.0,2015-01-05 16:00:00,Mon,7.0,2015,01,16,Holiday
64298.25,0.0,2015-01-05 17:00:00,Mon,7.0,2015,01,17,Holiday
64003.0,0.0,2015-01-05 18:00:00,Mon,7.0,2015,01,18,Holiday
62400.25,0.0,2015-01-05 19:00:00,Mon,7.0,2015,01,19,Holiday
58231.5,0.0,2015-01-05 20:00:00,Mon,7.0,2015,01,20,Holiday
55508.0,0.0,2015-01-05 21:00:00,Mon,7.0,2015,01,21,Holiday
54178.5,0.0,2015-01-05 22:00:00,Mon,7.0,2015,01,22,Holiday
50027.5,0.0,2015-01-05 23:00:00,Mon,7.0,2015,01,23,Holiday
46821.75,0.0,2015-01-06 00:00:00,Tue,7.0,2015,01,00,Holiday
44574.75,0.0,2015-01-06 01:00:00,Tue,7.0,2015,01,01,Holiday
43518.5,0.0,2015-01-06 02:00:00,Tue,7.0,2015,01,02,Holiday
43582.25,0.0,2015-01-06 03:00:00,Tue,7.0,2015,01,03,Holiday
44122.25,0.0,2015-01-06 04:00:00,Tue,7.0,2015,01,04,Holiday
45607.25,0.0,2015-01-06 05:00:00,Tue,7.0,2015,01,05,Holiday
49799.5,0.0,2015-01-06 06:00:00,Tue,7.0,2015,01,06,Holiday
54889.0,0.0,2015-01-06 07:00:00,Tue,7.0,2015,01,07,Holiday
57149.5,0.0,2015-01-06 08:00:00,Tue,7.0,2015,01,08,Holiday
58347.75,0.0,2015-01-06 09:00:00,Tue,7.0,2015,01,09,Holiday
59850.25,0.0,2015-01-06 10:00:00,Tue,7.0,2015,01,10,Holiday
60874.5,0.0,2015-01-06 11:00:00,Tue,7.0,2015,01,11,Holiday
60611.5,0.0,2015-01-06 12:00:00,Tue,7.0,2015,01,12,Holiday
59724.0,0.0,2015-01-06 13:00:00,Tue,7.0,2015,01,13,Holiday
58413.5,0.0,2015-01-06 14:00:00,Tue,7.0,2015,01,14,Holiday
58117.25,0.0,2015-01-06 15:00:00,Tue,7.0,2015,01,15,Holiday
59392.75,0.0,2015-01-06 16:00:00,Tue,7.0,2015,01,16,Holiday
63384.0,0.0,2015-01-06 17:00:00,Tue,7.0,2015,01,17,Holiday
63643.5,0.0,2015-01-06 18:00:00,Tue,7.0,2015,01,18,Holiday
62651.75,0.0,2015-01-06 19:00:00,Tue,7.0,2015,01,19,Holiday
59076.5,0.0,2015-01-06 20:00:00,Tue,7.0,2015,01,20,Holiday
56321.75,0.0,2015-01-06 21:00:00,Tue,7.0,2015,01,21,Holiday
54393.5,0.0,2015-01-06 22:00:00,Tue,7.0,2015,01,22,Holiday
