Total[MWh],Forecasted residual load[MWh],Datetime,Weekday,Weekclass,Year,Month,Hour,Grouped_daytype
42155.75,0.0,2015-01-01 00:00:00,Thu,7.0,2015,01,00,Holiday
39969.5,0.0,2015-01-01 01:00:00,Thu,7.0,2015,01,01,Holiday
38813.0,0.0,2015-01-01 02:00:00,Thu,7.0,2015,01,02,Holiday
38490.0,0.0,2015-01-01 03:00:00,Thu,7.0,2015,01,03,Holiday
38643.75,0.0,2015-01-01 04:00:00,Thu,7.0,2015,01,04,Holiday
38773.25,0.0,2015-01-01 05:00:00,Thu,7.0,2015,01,05,Holiday
37247.5,0.0,2015-01-01 06:00:00,Thu,7.0,2015,01,06,Holiday
40371.5,0.0,2015-01-01 07:00:00,Thu,7.0,2015,01,07,Holiday
42522.0,0.0,2015-01-01 08:00:00,Thu,7.0,2015,01,08,Holiday
45020.5,0.0,2015-01-01 09:00:00,Thu,7.0,2015,01,09,Holiday
47101.0,0.0,2015-01-01 10:00:00,Thu,7.0,2015,01,10,Holiday
49603.25,0.0,2015-01-01 11:00:00,Thu,7.0,2015,01,11,Holiday
49909.75,0.0,2015-01-01 12:00:00,Thu,7.0,2015,01,12,Holiday
47528.0,0.0,2015-01-01 13:00:00,Thu,7.0,2015,01,13,Holiday
47096.5,0.0,2015-01-01 14:00:00,Thu,7.0,2015,01,14,Holiday
47383.0,0.0,2015-01-01 15:00:00,Thu,7.0,2015,01,15,Holiday
48935.75,0.0,2015-01-01 16:00:00,Thu,7.0,2015,01,16,Holiday
52288.0,0.0,2015-01-01 17:00:00,Thu,7.0,2015,01,17,Holiday
53367.25,0.0,2015-01-01 18:00:00,Thu,7.0,2015,01,18,Holiday
52598.75,0.0,2015-01-01 19:00:00,Thu,7.0,2015,01,19,Holiday
50020.25,0.0,2015-01-01 20:00:00,Thu,7.0,2015,01,20,Holiday
48096.25,0.0,2015-01-01 21:00:00,Thu,7.0,2015,01,21,Holiday
47803.5,0.0,2015-01-01 22:00:00,Thu,7.0,2015,01,22,Holiday
44876.0,0.0,2015-01-01 23:00:00,Thu,7.0,2015,01,23,Holiday
40078.25,0.0,2015-01-02 00:00:00,Fri,7.0,2015,01,00,Holiday
38711.5,0.0,2015-01-02 01:00:00,Fri,7.0,2015,01,01,Holiday
37819.75,0.0,2015-01-02 02:00:00,Fri,7.0,2015,01,02,Holiday
37828.25,0.0,2015-01-02 03:00:00,Fri,7.0,2015,01,03,Holiday
38924.75,0.0,2015-01-02 04:00:00,Fri,7.0,2015,01,04,Holiday
40502.5,0.0,2015-01-02 05:00:00,Fri,7.0,2015,01,05,Holiday
43400.25,0.0,2015-01-02 06:00:00,Fri,7.0,2015,01,06,Holiday
49039.75,0.0,2015-01-02 07:00:00,Fri,7.0,2015,01,07,Holiday
51540.0,0.0,2015-01-02 08:00:00,Fri,7.0,2015,01,08,Holiday
53133.0,0.0,2015-01-02 09:00:00,Fri,7.0,2015,01,09,Holiday
54445.5,0.0,2015-01-02 10:00:00,Fri,7.0,2015,01,10,Holiday
55685.5,0.0,2015-01-02 11:00:00,Fri,7.0,2015,01,11,Holiday
55626.75,0.0,2015-01-02 12:00:00,Fri,7.0,2015,01,12,Holiday
53698.0,0.0,2015-01-02 13:00:00,Fri,7.0,2015,01,13,Holiday
53314.75,0.0,2015-01-02 14:00:00,Fri,7.0,2015,01,14,Holiday
53275.0,0.0,2015-01-02 15:00:00,Fri,7.0,2015,01,15,Holiday
54490.75,0.0,2015-01-02 16:00:00,Fri,7.0,2015,01,16,Holiday
57232.75,0.0,2015-01-02 17:00:00,Fri,7.0,2015,01,17,Holiday
57268.0,0.0,2015-01-02 18:00:00,Fri,7.0,2015,01,18,Holiday
55583.5,0.0,2015-01-02 19:00:00,Fri,7.0,2015,01,19,Holiday
51783.5,0.0,2015-01-02 20:00:00,Fri,7.0,2015,01,20,Holiday
47797.5,0.0,2015-01-02 21:00:00,Fri,7.0,2015,01,21,Holiday
45972.5,0.0,2015-01-02 22:00:00,Fri,7.0,2015,01,22,Holiday
44473.75,0.0,2015-01-02 23:00:00,Fri,7.0,2015,01,23,Holiday
42341.25,0.0,2015-01-03 00:00:00,Sat,7.0,2015,01,00,Holiday
40962.5,0.0,2015-01-03 01:00:00,Sat,7.0,2015,01,01,Holiday
39777.5,0.0,2015-01-03 02:00:00,Sat,7.0,2015,01,02,Holiday
39824.5,0.0,2015-01-03 03:00:00,Sat,7.0,2015,01,03,Holiday
40220.75,0.0,2015-01-03 04:00:00,Sat,7.0,2015,01,04,Holiday
40012.25,0.0,2015-01-03 05:00:00,Sat,7.0,2015,01,05,Holiday
40213.25,0.0,2015-01-03 06:00:00,Sat,7.0,2015,01,06,Holiday
42881.5,0.0,2015-01-03 07:00:00,Sat,7.0,2015,01,07,Holiday
46556.0,0.0,2015-01-03 08:00:00,Sat,7.0,2015,01,08,Holiday
49657.75,0.0,2015-01-03 09:00:00,Sat,7.0,2015,01,09,Holiday
51738.5,0.0,2015-01-03 10:00:00,Sat,7.0,2015,01,10,Holiday
52963.0,0.0,2015-01-03 11:00:00,Sat,7.0,2015,01,11,Holiday
52562.5,0.0,2015-01-03 12:00:00,Sat,7.0,2015,01,12,Holiday
51453.75,0.0,2015-01-03 13:00:00,Sat,7.0,2015,01,13,Holiday
50239.25,0.0,2015-01-03 14:00:00,Sat,7.0,2015,01,14,Holiday
49500.25,0.0,2015-01-03 15:00:00,Sat,7.0,2015,01,15,Holiday
50741.75,0.0,2015-01-03 16:00:00,Sat,7.0,2015,01,16,Holiday
52569.0,0.0,2015-01-03 17:00:00,Sat,7.0,2015,01,17,Holiday
52952.5,0.0,2015-01-03 18:00:00,Sat,7.0,2015,01,18,Holiday
51891.0,0.0,2015-01-03 19:00:00,Sat,7.0,2015,01,19,Holiday
49039.75,0.0,2015-01-03 20:00:00,Sat,7.0,2015,01,20,Holiday
47277.25,0.0,2015-01-03 21:00:00,Sat,7.0,2015,01,21,Holiday
46910.75,0.0,2015-01-03 22:00:00,Sat,7.0,2015,01,22,Holiday
44334.75,0.0,2015-01-03 23:00:00,Sat,7.0,2015,01,23,Holiday
41144.5,0.0,2015-01-04 00:00:00,Sun,7.0,2015,01,00,Holiday
38944.75,0.0,2015-01-04 01:00:00,Sun,7.0,2015,01,01,Holiday
37773.25,0.0,2015-01-04 02:00:00,Sun,7.0,2015,01,02,Holiday
37970.75,0.0,2015-01-04 03:00:00,Sun,7.0,2015,01,03,Holiday
37962.75,0.0,2015-01-04 04:00:00,Sun,7.0,2015,01,04,Holiday
37355.75,0.0,2015-01-04 05:00:00,Sun,7.0,2015,01,05,Holiday
35587.75,0.0,2015-01-04 06:00:00,Sun,7.0,2015,01,06,Holiday
36483.25,0.0,2015-01-04 07:00:00,Sun,7.0,2015,01,07,Holiday
